Date,Product_ID,Category,Units_Sold,Unit_Price,Total_Revenue,Discount_Applied,Year,Month,DayOfWeek,IsWeekend,Sales_Lag_1Day,Sales_Lag_7Day,Rolling_Mean_7Day,Rolling_Mean_30Day
2024-04-25,CLO_001,Clothing,20,229.92,4598.36,0.0,2024,4,3,0,20.0,11.0,19.142857142857142,18.125
2024-04-26,CLO_001,Clothing,20,229.92,4598.36,0.0,2024,4,4,0,20.0,17.0,19.571428571428573,18.333333333333332
2024-04-27,CLO_001,Clothing,13,229.92,2988.93,0.0,2024,4,5,1,20.0,25.0,17.857142857142858,17.8
2024-04-28,CLO_001,Clothing,16,229.92,3678.68,0.0,2024,4,6,1,13.0,21.0,17.142857142857142,17.636363636363637
2024-04-29,CLO_001,Clothing,9,183.93,1655.41,0.2,2024,4,0,0,16.0,16.0,16.142857142857142,16.916666666666668
2024-04-30,CLO_001,Clothing,15,229.92,3448.77,0.0,2024,4,1,0,9.0,15.0,16.142857142857142,16.76923076923077
2024-05-01,CLO_001,Clothing,14,206.93,2896.96,0.1,2024,5,2,0,15.0,20.0,15.285714285714286,16.571428571428573
2024-05-02,CLO_001,Clothing,20,229.92,4598.36,0.0,2024,5,3,0,14.0,20.0,15.285714285714286,16.8
2024-05-03,CLO_001,Clothing,18,229.92,4138.52,0.0,2024,5,4,0,20.0,20.0,15.0,16.875
2024-05-04,CLO_001,Clothing,24,229.92,5518.03,0.0,2024,5,5,1,18.0,13.0,16.571428571428573,17.294117647058822
2024-05-05,CLO_001,Clothing,20,206.93,4138.52,0.1,2024,5,6,1,24.0,16.0,17.142857142857142,17.444444444444443
2024-05-06,CLO_001,Clothing,11,206.93,2276.19,0.1,2024,5,0,0,20.0,9.0,17.428571428571427,17.105263157894736
2024-05-07,CLO_001,Clothing,23,206.93,4759.3,0.1,2024,5,1,0,11.0,15.0,18.571428571428573,17.4
2024-05-08,CLO_001,Clothing,16,229.92,3678.68,0.0,2024,5,2,0,23.0,14.0,18.857142857142858,17.333333333333332
2024-05-09,CLO_001,Clothing,12,229.92,2759.01,0.0,2024,5,3,0,16.0,20.0,17.714285714285715,17.09090909090909
2024-05-10,CLO_001,Clothing,13,183.93,2391.14,0.2,2024,5,4,0,12.0,18.0,17.0,16.91304347826087
2024-05-11,CLO_001,Clothing,22,229.92,5058.19,0.0,2024,5,5,1,13.0,24.0,16.714285714285715,17.125
2024-05-12,CLO_001,Clothing,21,229.92,4828.27,0.0,2024,5,6,1,22.0,20.0,16.857142857142858,17.28
2024-05-13,CLO_001,Clothing,14,229.92,3218.85,0.0,2024,5,0,0,21.0,11.0,17.285714285714285,17.153846153846153
2024-05-14,CLO_001,Clothing,10,206.93,2069.26,0.1,2024,5,1,0,14.0,23.0,15.428571428571429,16.88888888888889
2024-05-15,CLO_001,Clothing,14,229.92,3218.85,0.0,2024,5,2,0,10.0,16.0,15.142857142857142,16.785714285714285
2024-05-16,CLO_001,Clothing,19,229.92,4368.44,0.0,2024,5,3,0,14.0,12.0,16.142857142857142,16.862068965517242
2024-05-17,CLO_001,Clothing,15,229.92,3448.77,0.0,2024,5,4,0,19.0,13.0,16.428571428571427,16.8
2024-05-18,CLO_001,Clothing,19,206.93,3931.59,0.1,2024,5,5,1,15.0,22.0,16.0,17.066666666666666
2024-05-19,CLO_001,Clothing,24,206.93,4966.22,0.1,2024,5,6,1,19.0,21.0,16.428571428571427,17.3
2024-05-20,CLO_001,Clothing,13,229.92,2988.93,0.0,2024,5,0,0,24.0,14.0,16.285714285714285,16.9
2024-05-21,CLO_001,Clothing,15,229.92,3448.77,0.0,2024,5,1,0,13.0,10.0,17.0,16.7
2024-05-22,CLO_001,Clothing,16,229.92,3678.68,0.0,2024,5,2,0,15.0,14.0,17.285714285714285,16.7
2024-05-23,CLO_001,Clothing,16,229.92,3678.68,0.0,2024,5,3,0,16.0,19.0,16.857142857142858,16.733333333333334
2024-05-24,CLO_001,Clothing,15,206.93,3103.89,0.1,2024,5,4,0,16.0,15.0,16.857142857142858,16.566666666666666
2024-05-25,CLO_001,Clothing,21,229.92,4828.27,0.0,2024,5,5,1,15.0,19.0,17.142857142857142,16.6
2024-05-26,CLO_001,Clothing,14,206.93,2896.96,0.1,2024,5,6,1,21.0,24.0,15.714285714285714,16.4
2024-05-27,CLO_001,Clothing,17,229.92,3908.6,0.0,2024,5,0,0,14.0,13.0,16.285714285714285,16.533333333333335
2024-05-28,CLO_001,Clothing,15,229.92,3448.77,0.0,2024,5,1,0,17.0,15.0,16.285714285714285,16.5
2024-05-29,CLO_001,Clothing,16,206.93,3310.82,0.1,2024,5,2,0,15.0,16.0,16.285714285714285,16.733333333333334
2024-05-30,CLO_001,Clothing,15,229.92,3448.77,0.0,2024,5,3,0,16.0,16.0,16.142857142857142,16.733333333333334
2024-05-31,CLO_001,Clothing,14,206.93,2896.96,0.1,2024,5,4,0,15.0,15.0,16.0,16.733333333333334
2024-06-01,CLO_001,Clothing,20,229.92,4598.36,0.0,2024,6,5,1,14.0,21.0,15.857142857142858,16.733333333333334
2024-06-02,CLO_001,Clothing,20,229.92,4598.36,0.0,2024,6,6,1,20.0,14.0,16.714285714285715,16.8
2024-06-03,CLO_001,Clothing,17,229.92,3908.6,0.0,2024,6,0,0,20.0,17.0,16.714285714285715,16.566666666666666
2024-06-04,CLO_001,Clothing,15,229.92,3448.77,0.0,2024,6,1,0,17.0,15.0,16.714285714285715,16.4
2024-06-05,CLO_001,Clothing,16,206.93,3310.82,0.1,2024,6,2,0,15.0,16.0,16.714285714285715,16.566666666666666
2024-06-06,CLO_001,Clothing,16,206.93,3310.82,0.1,2024,6,3,0,16.0,15.0,16.857142857142858,16.333333333333332
2024-06-07,CLO_001,Clothing,12,229.92,2759.01,0.0,2024,6,4,0,16.0,14.0,16.571428571428573,16.2
2024-06-08,CLO_001,Clothing,20,206.93,4138.52,0.1,2024,6,5,1,12.0,20.0,16.571428571428573,16.466666666666665
2024-06-09,CLO_001,Clothing,18,206.93,3724.67,0.1,2024,6,6,1,20.0,20.0,16.285714285714285,16.633333333333333
2024-06-10,CLO_001,Clothing,20,229.92,4598.36,0.0,2024,6,0,0,18.0,17.0,16.714285714285715,16.566666666666666
2024-06-11,CLO_001,Clothing,21,229.92,4828.27,0.0,2024,6,1,0,20.0,15.0,17.571428571428573,16.566666666666666
2024-06-12,CLO_001,Clothing,22,183.93,4046.55,0.2,2024,6,2,0,21.0,16.0,18.428571428571427,16.833333333333332
2024-06-13,CLO_001,Clothing,10,206.93,2069.26,0.1,2024,6,3,0,22.0,16.0,17.571428571428573,16.833333333333332
2024-06-14,CLO_001,Clothing,18,229.92,4138.52,0.0,2024,6,4,0,10.0,12.0,18.428571428571427,16.966666666666665
2024-06-15,CLO_001,Clothing,23,206.93,4759.3,0.1,2024,6,5,1,18.0,20.0,18.857142857142858,17.1
2024-06-16,CLO_001,Clothing,17,206.93,3517.74,0.1,2024,6,6,1,23.0,18.0,18.714285714285715,17.166666666666668
2024-06-17,CLO_001,Clothing,10,229.92,2299.18,0.0,2024,6,0,0,17.0,20.0,17.285714285714285,16.866666666666667
2024-06-18,CLO_001,Clothing,17,183.93,3126.88,0.2,2024,6,1,0,10.0,21.0,16.714285714285715,16.633333333333333
2024-06-19,CLO_001,Clothing,23,183.93,4230.49,0.2,2024,6,2,0,17.0,22.0,16.857142857142858,16.966666666666665
2024-06-20,CLO_001,Clothing,11,229.92,2529.1,0.0,2024,6,3,0,23.0,10.0,17.0,16.833333333333332
2024-06-21,CLO_001,Clothing,12,206.93,2483.11,0.1,2024,6,4,0,11.0,18.0,16.142857142857142,16.7
2024-06-22,CLO_001,Clothing,24,229.92,5518.03,0.0,2024,6,5,1,12.0,23.0,16.285714285714285,16.966666666666665
2024-06-23,CLO_001,Clothing,20,229.92,4598.36,0.0,2024,6,6,1,24.0,17.0,16.714285714285715,17.133333333333333
2024-06-24,CLO_001,Clothing,11,229.92,2529.1,0.0,2024,6,0,0,20.0,10.0,16.857142857142858,16.8
2024-06-25,CLO_001,Clothing,16,229.92,3678.68,0.0,2024,6,1,0,11.0,17.0,16.714285714285715,16.866666666666667
2024-06-26,CLO_001,Clothing,22,229.92,5058.19,0.0,2024,6,2,0,16.0,23.0,16.571428571428573,17.033333333333335
2024-06-27,CLO_001,Clothing,15,229.92,3448.77,0.0,2024,6,3,0,22.0,11.0,17.142857142857142,17.033333333333335
2024-06-28,CLO_001,Clothing,19,229.92,4368.44,0.0,2024,6,4,0,15.0,12.0,18.142857142857142,17.133333333333333
2024-06-29,CLO_001,Clothing,17,229.92,3908.6,0.0,2024,6,5,1,19.0,24.0,17.142857142857142,17.2
