Date,Product_ID,Category,Units_Sold,Unit_Price,Total_Revenue,Discount_Applied
2024-04-18,ELE_001,Electronics,14,415.87,5822.12,0.0
2024-04-18,ELE_002,Electronics,23,74.24,1707.52,0.0
2024-04-18,ELE_003,Electronics,31,106.04,3287.2,0.0
2024-04-18,ELE_004,Electronics,32,310.21,9926.77,0.1
2024-04-18,ELE_005,Electronics,11,11.11,122.2,0.0
2024-04-18,ELE_006,Electronics,16,328.31,5252.94,0.0
2024-04-18,ELE_007,Electronics,21,404.63,8497.33,0.0
2024-04-18,ELE_008,Electronics,5,226.72,1133.62,0.0
2024-04-18,ELE_009,Electronics,20,285.18,5703.69,0.1
2024-04-18,ELE_010,Electronics,34,297.9,10128.47,0.1
2024-04-18,CLO_001,Clothing,11,183.93,2023.28,0.2
2024-04-18,CLO_002,Clothing,15,390.33,5854.89,0.0
2024-04-18,CLO_003,Clothing,25,21.42,535.59,0.1
2024-04-18,CLO_004,Clothing,35,316.0,11059.97,0.0
2024-04-18,CLO_005,Clothing,18,37.42,673.6,0.0
2024-04-18,CLO_006,Clothing,0,329.24,0.0,0.0
2024-04-18,CLO_007,Clothing,37,319.72,11829.75,0.0
2024-04-18,CLO_008,Clothing,12,148.33,1779.95,0.0
2024-04-18,CLO_009,Clothing,36,132.88,4783.65,0.1
2024-04-18,CLO_010,Clothing,38,314.06,11934.28,0.2
2024-04-18,GRO_001,Groceries,22,42.09,926.05,0.0
2024-04-18,GRO_002,Groceries,44,73.92,3252.44,0.0
2024-04-18,GRO_003,Groceries,0,464.56,0.0,0.0
2024-04-18,GRO_004,Groceries,24,273.75,6569.97,0.0
2024-04-18,GRO_005,Groceries,41,271.96,11150.48,0.1
2024-04-18,GRO_006,Groceries,25,300.6,7514.91,0.1
2024-04-18,GRO_007,Groceries,4,385.09,1540.36,0.0
2024-04-18,GRO_008,Groceries,39,339.4,13236.64,0.1
2024-04-18,GRO_009,Groceries,46,85.02,3910.88,0.0
2024-04-18,GRO_010,Groceries,8,50.09,400.68,0.0
2024-04-18,FUR_001,Furniture,13,248.52,3230.76,0.2
2024-04-18,FUR_002,Furniture,30,317.14,9514.07,0.0
2024-04-18,FUR_003,Furniture,2,86.92,173.84,0.2
2024-04-18,FUR_004,Furniture,8,107.08,856.65,0.0
2024-04-18,FUR_005,Furniture,25,472.64,11815.88,0.0
2024-04-18,FUR_006,Furniture,9,328.67,2958.03,0.0
2024-04-18,FUR_007,Furniture,38,234.14,8897.38,0.0
2024-04-18,FUR_008,Furniture,43,243.83,10484.82,0.2
2024-04-18,FUR_009,Furniture,25,17.14,428.61,0.0
2024-04-18,FUR_010,Furniture,16,477.31,7636.94,0.0
2024-04-18,TOY_001,Toys,53,75.67,4010.76,0.0
2024-04-18,TOY_002,Toys,14,63.87,894.21,0.0
2024-04-18,TOY_003,Toys,35,434.24,15198.39,0.0
2024-04-18,TOY_004,Toys,4,157.96,631.86,0.0
2024-04-18,TOY_005,Toys,8,61.78,494.2,0.0
2024-04-18,TOY_006,Toys,2,411.11,822.21,0.0
2024-04-18,TOY_007,Toys,51,227.46,11600.58,0.0
2024-04-18,TOY_008,Toys,25,214.56,5363.93,0.1
2024-04-18,TOY_009,Toys,50,127.56,6378.17,0.0
2024-04-18,TOY_010,Toys,23,10.34,237.83,0.0
2024-04-19,ELE_001,Electronics,11,415.87,4574.52,0.0
2024-04-19,ELE_002,Electronics,0,66.82,0.0,0.1
2024-04-19,ELE_003,Electronics,28,106.04,2969.09,0.0
2024-04-19,ELE_004,Electronics,28,275.74,7720.82,0.2
2024-04-19,ELE_005,Electronics,10,8.89,88.88,0.2
2024-04-19,ELE_006,Electronics,28,328.31,9192.65,0.0
2024-04-19,ELE_007,Electronics,18,364.17,6555.09,0.1
2024-04-19,ELE_008,Electronics,8,226.72,1813.78,0.0
2024-04-19,ELE_009,Electronics,14,316.87,4436.2,0.0
2024-04-19,ELE_010,Electronics,31,331.0,10260.86,0.0
2024-04-19,CLO_001,Clothing,17,229.92,3908.6,0.0
2024-04-19,CLO_002,Clothing,14,351.29,4918.1,0.1
2024-04-19,CLO_003,Clothing,36,23.8,856.94,0.0
2024-04-19,CLO_004,Clothing,0,252.8,0.0,0.2
2024-04-19,CLO_005,Clothing,16,37.42,598.76,0.0
2024-04-19,CLO_006,Clothing,29,329.24,9547.97,0.0
2024-04-19,CLO_007,Clothing,26,319.72,8312.8,0.0
2024-04-19,CLO_008,Clothing,21,148.33,3114.91,0.0
2024-04-19,CLO_009,Clothing,45,132.88,5979.56,0.1
2024-04-19,CLO_010,Clothing,45,392.58,17665.88,0.0
2024-04-19,GRO_001,Groceries,48,42.09,2020.47,0.0
